Time (s),CPU Utilization (%),Memory Usage (%),NIC Sent (bytes),NIC Received (bytes),Power Consumption (W)
1.53,25.7,62.2,304199685,876139947,25.7
3.04,31.2,62.2,304486366,876158981,31.2
4.56,23.0,62.2,304924864,876182096,23.0
6.08,23.6,62.1,305230590,876201684,23.6
7.60,17.2,62.3,305378448,876215824,17.2
9.13,25.8,62.2,305463314,876221401,25.8
10.64,18.6,62.1,305542441,876227335,18.6
12.17,31.1,62.1,305644341,876236270,31.1
13.70,60.4,62.5,305844380,876255642,60.4
15.23,54.3,62.5,306396545,876265015,54.29999999999999
16.74,38.1,62.7,306728268,876271917,38.1
18.26,32.7,62.7,307152199,876293193,32.7
19.79,28.0,62.7,307503682,876317943,28.000000000000004
21.31,56.3,62.7,308145621,876340390,56.3
22.83,33.7,62.5,308504695,876350803,33.7
24.35,45.0,62.3,308783517,876357900,45.0
25.87,33.6,62.1,309275550,876366830,33.6
27.39,39.0,62.2,309429415,876381259,39.0
28.91,43.7,62.2,309556436,876399471,43.7
30.43,41.8,62.1,309699011,876417340,41.8
31.96,21.4,62.2,309781581,876442035,21.4
33.48,19.5,62.1,309868288,876451347,19.5
35.00,17.2,62.1,309957323,876461017,17.2
36.52,32.2,62.1,310046195,876478536,32.2
38.04,60.0,62.1,310448889,876488069,60.0
39.56,44.8,62.1,310834789,876496403,44.8
41.08,26.3,62.2,311114924,876507317,26.3
42.59,15.9,62.1,311206064,876520726,15.9
44.11,17.8,62.1,311271838,876532317,17.8
45.62,20.2,62.0,311355092,876550237,20.2
47.14,39.8,62.0,311494434,876561281,39.8
48.66,28.1,62.0,311582323,876577094,28.1
50.17,17.4,62.0,311669432,876582489,17.4
51.69,18.9,62.0,311744973,876588417,18.9
53.21,15.5,62.0,311825495,876604767,15.5
54.73,22.1,62.0,311916864,876624181,22.1
56.24,19.5,62.0,311983201,876634278,19.5
57.76,27.9,62.3,312048545,876639838,27.9
59.28,16.8,62.3,312149252,876662165,16.8
60.79,35.5,62.3,312274275,876670377,35.5
